"15 FEB 2026","18:23:19","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/25 through 12/31/25",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"SC8452","09/23/25","01","77950","NAGLE SIGNS  INC.","418.70","355.88","62.82","15.00","","","","","","","","206","TOBACCO OUTLET -PLUS","URBANDALE","IA",
"","","01","","Product Totals","418.70","355.88","62.82","15.00","0.00","",

"12364","04/16/25","BANNER","6238","CHAD NELSON","17.50","17.50","0.00","0.00","","","","","","","","DEFAULT","CHAD NELSON","WEST DES MOINES","IA",
"12410","05/16/25","BANNER","6237","CORINA KEELING","0.00","53.00","-53.00","","","","","","","","","DEFAULT","CORINA KEELING","NORWALK","IA",
"","","BANNER","","Product Totals","17.50","70.50","-53.00","-302.86","0.00","",

"12431","06/03/25","LIFTS","69050","LOZIER HEATING & COOLING","187.50","105.75","81.75","43.60","","","","","","","","2","TRIZIA-LOZIER","DES MOINES","IA",
"12440","06/11/25","LIFTS","69050","LOZIER HEATING & COOLING","250.00","141.13","108.87","43.55","","","","","","","","3","BONNIE´S BARRICADES-LOZIER","DES MOINES","IA",
"","","LIFTS","","Product Totals","437.50","246.88","190.62","43.57","0.00","",

"12380","05/14/25","MISC","5943","MATT ZELIADT","184.41","167.67","16.74","9.08","","","","","","","","DEFAULT","MATT ZELIADT","DES MOINES","IA",
"12426","05/28/25","MISC","77950","NAGLE SIGNS  INC.","86.90","69.52","17.38","20.00","","","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"12483","07/21/25","MISC","5866","TIMBER CREEK THERAPIES","0.00","303.00","-303.00","","","","","","","","","DEFAULT","TIMBER CREEK THERAPIES","GUTHRIE CENTER","IA",
