"02-15-26","","","Eagle Sign Company","DIVISION 20","","DATE RANGE:  01/01/09 - 12/31/09","","","","","","","0099","","","","","","","0100","","","","","","","0200","","","","","","","0300","","","","","","","0400","","","","","","","0500","","","","","","","0600","","","","","","","0700","","","","","","","0800","","","","","","","5010","","","","","","","5190","","","","","","","5200","","","","","","","5300","","","","","","","5307","","","","","","","6000","","","","","","","6010","","","","","","","6020","","","","","","","6030","","","","","","","6040","","","","","","","6050","","","","","","","9820","","","","","ADJ"
"","","","","","","","","","","","","","PERMITTING","","","","","","","ART DEPARTMENT","","","","","","","FABRICATION","","","","","","","ELECTRICAL","","","","","","","PAINT","","","","","","","VINYL & GRAPHICS","","","","","","","INSTALLATION","","","","","","","SERVICE","","","","","","","TRAVEL","","","","","","","VEHICLE MAINTENANCE","","","","","","","SALES","","","","","","","JANITORIAL","","","","","","","OFFICE","","","","","","","Management Labor","","","","","","","VACATION PAY","","","","","","","PERSONAL/SICK PAY","","","","","","","MISC BENEFIT PAY","","","","","","","EMPLOYEE BONUS","","","","","","","HOLIDAY PAY","","","","","","","INDIRECT SHOP LABOR","","","","","","","Service Labor - Overtime","","","","","Adjust/Transfer"
"WO #","Due Date","Customer #","Customer Name","Job Location","Quote #","Description","Sign Type","Template Code","WO Status","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Act Dollars","","Tot Est Hrs","Tot Act Hrs","Tot Variance","Tot Est Dollars","Tot Act Dollars","Tot Variance"
"2451.1","10/06/09","2582","132ND FIGHTER WING","DES MOINES, IA","5767"," Remove and junk (2) electronic message boards from existing sign structure. Furnish and install (1) Daktronics Galaxy 3200 Series 2V- 2 one sided displays, 34mm RED, GREEN AND BLUE 32,768 colors 16x80 matrix, 2'2""H x 9'-5""W x 6""D per face. External Temperature Sensor included. Version 3 Venus software included. Daktronics Webinar Software Training included. The Daktronics 3200 Series are compatible with modem communication. Any necessary city permit will be extra to include staff time and permit at cost.","MONDF","","Acct Closed","","","","","","","","","","","","","","","","6.000","1.500","4.500","182.40","41.33","141.07","","","","","","","","","2.000","0.000","2.000","60.80","0.00","60.80","","","","","","","","","10.000","30.250","-20.250","727.20","1235.18","-507.98","","0.000","8.000","-8.000","0.00","347.20","-347.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.000","39.750","-21.750","970.40","1623.71","-653.31"
"SC1654.1","05/20/09","2582","132ND FIGHTER WING","",""," The 182nd Fighter Wing has a D"," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.250","-0.250","0.00","9.80","-9.80","","0.000","2.250","-2.250","0.00","88.20","-88.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.500","-2.500","0.00","98.00","-98.00"
"SC1623.1","03/23/09","2306","24/7 X-PRESS","",""," Customer called and claims the bottom portion of the ´neon triangle´ boardering the exterior sign on the west elevation is not illuminating. Please send service tech to trouble shoot and make necessary repairs. Customer has requested that he be called before going to the jobsite. Contact is David Ertle (owner) 515-689-1254."," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","3.250","-3.250","0.00","134.76","-134.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","3.250","-3.250","0.00","134.76","-134.76"
"SC1812.1","12/01/09","2733","6101 INVESTMENT","",""," Survey Parking lot sign (semi backed into it).  Call Adam while still at the work site to get estimate on fixing the damage.   Call George or Marleen Timmons (515) 287-6510 before going out.  Sign is in the back parking lot.  "," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","5.000","-5.000","0.00","199.50","-199.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","5.000","-5.000","0.00","199.50","-199.50"
"2256.1","05/07/09","800","A-1 STAFFING","DES MOINES, IA","5535"," Cut and install white vinyl lettering for the windows and door as shown in Eagle Sign drawing #903140C1.","VINYL","","Acct Closed","","","","","","","","","0.500","0.500","0.000","15.20","14.73","0.47","","","","","","","","","","","","","","","","","","","","","","","1.000","1.750","-0.750","30.40","57.97","-27.57","","1.500","4.250","-2.750","79.80","176.06","-96.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.000","6.500","-3.500","125.40","248.76","-123.36"
"2256.2","05/07/09","800","A-1 STAFFING","DES MOINES, IA","5534"," Provide and install one set of 15"" tall formed acrylic letters reading ""A-1 STAFFING"".  Letters are black and italicized. Permit is included.","GEMINI","","Acct Closed","","","","","","","","","0.500","0.000","0.500","15.20","0.00","15.20","","1.000","0.000","1.000","30.40","0.00","30.40","","","","","","","","","","","","","","","","0.000","0.250","-0.250","0.00","7.37","-7.37","","2.500","2.000","0.500","208.25","82.60","125.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.000","2.250","1.750","253.85","89.97","163.88"
"2203.1","04/01/09","2548","AAFES ACCOUNTS PAYABLE","FT. WAINWRIGHT, AK","5080"," 24"" x 15´ x 5""  Charley´s plex face logo","CLLIT","","Acct Closed","","","","","","","","","1.000","0.000","1.000","30.40","0.00","30.40","","26.500","25.250","1.250","805.60","769.53","36.07","","4.500","5.500","-1.000","136.80","163.41","-26.61","","2.500","3.000","-0.500","76.00","85.50","-9.50","","3.750","1.500","2.250","114.00","48.48","65.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.250","35.250","3.000","1162.80","1066.92","95.88"
"2326.1","06/22/09","2548","AAFES ACCOUNTS PAYABLE","Eielson, AK","5448A"," ""G"" and ""R"" cans only for 24"" set (no face or LEDs); send Red touch up paint; shipping included","CLLIT","","Acct Closed","","","","","","","","","","","","","","","","2.500","3.250","-0.750","76.00","98.46","-22.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.500","3.250","-0.750","76.00","98.46","-22.46"
"2326.2","06/30/09","2548","AAFES ACCOUNTS PAYABLE","Eielson, AK","5486A"," removal of damaged 'G' and 'R', installation of new letters","CLLIT","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.00"
"SC1800.1","11/18/09","1500","ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC","",""," Lower part of Hi-Rise sign near highway need lamps.  Please check all signage while there.  NOTE:  Read ALL attached paperwork carefully as to what instructions need to be followed."," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.250","-1.250","0.00","54.26","-54.26","","0.000","4.000","-4.000","0.00","173.60","-173.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","5.250","-5.250","0.00","227.86","-227.86"
