"02-15-26","","","Eagle Sign Company","DIVISION 20","","DATE RANGE:  01/01/18 - 12/31/18","","","","","","","0099","","","","","","","0100","","","","","","","0200","","","","","","","0300","","","","","","","0400","","","","","","","0500","","","","","","","0600","","","","","","","0700","","","","","","","0800","","","","","","","5010","","","","","","","5190","","","","","","","5200","","","","","","","5300","","","","","","","5307","","","","","","","6000","","","","","","","6010","","","","","","","6020","","","","","","","6030","","","","","","","6040","","","","","","","6050","","","","","","","9820","","","","","ADJ"
"","","","","","","","","","","","","","PERMITTING","","","","","","","ART DEPARTMENT","","","","","","","FABRICATION","","","","","","","ELECTRICAL","","","","","","","PAINT","","","","","","","VINYL & GRAPHICS","","","","","","","INSTALLATION","","","","","","","SERVICE","","","","","","","TRAVEL","","","","","","","VEHICLE MAINTENANCE","","","","","","","SALES","","","","","","","JANITORIAL","","","","","","","OFFICE","","","","","","","Management Labor","","","","","","","VACATION PAY","","","","","","","PERSONAL/SICK PAY","","","","","","","MISC BENEFIT PAY","","","","","","","EMPLOYEE BONUS","","","","","","","HOLIDAY PAY","","","","","","","INDIRECT SHOP LABOR","","","","","","","Service Labor - Overtime","","","","","Adjust/Transfer"
"WO #","Due Date","Customer #","Customer Name","Job Location","Quote #","Description","Sign Type","Template Code","WO Status","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Act Dollars","","Tot Est Hrs","Tot Act Hrs","Tot Variance","Tot Est Dollars","Tot Act Dollars","Tot Variance"
"8949.6","12/10/18","5412","1908 DRAUGHT HOUSE","NORWALK, IA","26614"," WEST ELEVATION: Furnish and install 32""H channel letters in a ""HORIZONTAL"" layout raceway mounted. Red faces, red LEDs, white trim cap and white returns. Power to sign by others. Use Tax is included.","CLLIT","CL-RACEWAY","Acct Closed","","0.000","2.000","-2.000","0.00","78.18","-78.18","","1.000","0.000","1.000","42.46","0.00","42.46","","41.000","52.000","-11.000","1740.86","1688.70","52.16","","6.000","4.000","2.000","254.76","115.80","138.96","","4.500","2.250","2.250","191.07","78.17","112.90","","0.000","1.250","-1.250","0.00","48.25","-48.25","","6.500","10.500","-4.000","686.40","484.52","201.88","","0.000","1.000","-1.000","0.00","51.48","-51.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.000","73.000","-14.000","2915.55","2545.10","370.45"
"8949.7","12/21/18","5412","1908 DRAUGHT HOUSE","NORWALK, IA","26673"," Extra charge to increase height by 6"" and provide black dye concrete footing. ","MONDF","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.000","0.000","1.000","42.46","0.00","42.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.000","0.000","1.000","42.46","0.00","42.46"
"SC5316.1","04/14/18","5128","23RD GROUP FACILITY SERVICES","",""," Lights above the double doors out back by dumpster are out.  Please repair. Photos are required before and after repair.  Have manager sign the sign off form and stamp with store stamp.  CHECK IN AND OUT WITH THE IVR SYSTEM IS A MUST.  ( See attached for IVR instructions.)"," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.000","-2.000","0.00","102.96","-102.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.000","-2.000","0.00","102.96","-102.96"
"SC5611.1","12/12/18","5429","3 SON'S CAR WASH","",""," Customer reports that there is neon out on the front of the building.   Please repair.   Call customer before you go out at  515 229 1084 "," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.250","-2.250","0.00","115.83","-115.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.250","-2.250","0.00","115.83","-115.83"
"SC5400.1","06/16/18","4617","A+ COMMUNICATIONS & SECURITY","",""," Furnish and install identical fleet vehicle vinyl graphics as previously done. Cut week and mask in black vinyl for first surface application the numbers 615 and 629 in both 2"" and 3"" sizes. Bill as T&M. "," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","9.500","-9.500","0.00","354.40","-354.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","9.500","-9.500","0.00","354.40","-354.40"
"8553.1","05/14/18","4129","A-D DISTRIBUTING CO.","",""," Assist with repairing Internal Haylard flagpole. 15´ away from driveway, about 25-30´ tall.  Week of 05"," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.500","-1.500","0.00","77.22","-77.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.500","-1.500","0.00","77.22","-77.22"
"8592.1","04/06/18","4129","A-D DISTRIBUTING CO.","",""," Assist with Re-roping  a 40' flag pole. External halyard"," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.250","-1.250","0.00","64.35","-64.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.250","-1.250","0.00","64.35","-64.35"
"8872.1","10/26/18","4129","A-D DISTRIBUTING CO.","DES MOINES, IA","26082"," REMOVE EXISTING SIGN AND SCRAP. FABRICATE (1) 4´ X 8´ NON-LIT PANEL SIGN WITH 0.80 WHITE PRE-PAINTED ALUMINUM AND 1"" SQ TUBE ALUMINUM FRAME AND INSTALL NEW GRAPHICS PER CUSTOMERS INFORMATION. SECURE PERMIT AND INSTALL IN SAME LOCATION OLD SIGN WAS LOCATED","BLDNON","GARSPECIAL","Acct Closed","","0.000","1.250","-1.250","0.00","48.87","-48.87","","1.000","0.000","1.000","42.46","0.00","42.46","","3.000","4.000","-1.000","127.38","165.99","-38.61","","","","","","","","","1.500","0.000","1.500","63.69","0.00","63.69","","4.000","4.500","-0.500","169.84","167.91","1.93","","2.000","8.000","-6.000","200.20","369.88","-169.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.000","0.000","2.000","84.92","0.00","84.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.500","17.750","-4.250","688.49","752.65","-64.16"
"SC5209.1","01/23/18","4129","A-D DISTRIBUTING CO.","",""," Assist Tony with re-roping flag pole at Staybridge Suites, 6905 Lake Dr. West Des Moines, IA 50266. "," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.750","-1.750","0.00","90.09","-90.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.750","-1.750","0.00","90.09","-90.09"
"SC5246.1","02/23/18","4129","A-D DISTRIBUTING CO.","",""," Assist Tony with flag pole repairs at the Federal Court House Annex;  at 110 E. Court Ave. Des Moines, IA "," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","4.750","-4.750","0.00","244.53","-244.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","4.750","-4.750","0.00","244.53","-244.53"
