"15 FEB 2026","18:21:03","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/16 through 12/31/16",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"7463","06/24/16","BANNER","4779","EAGLE SIGN CO.","0.00","161.69","-161.69","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"","","BANNER","","Product Totals","0.00","161.69","-161.69","","0.00","",

"7325","05/17/16","BLDG","91400","R+L CARRIERS  INC.","910.00","910.00","0.00","0.00","","","","","","","","DEFAULT","R+L CARRIERS, INC.","Wilmington","OH",
"7433-2","12/31/16","BLDG","38050","EAGLE SIGN CO.","0.00","2516.50","-2516.50","","","","","","","","","DEFAULT","EAGLE SIGN CO.","DES MOINES","IA",
"","","BLDG","","Product Totals","910.00","3426.50","-2516.50","-276.54","0.00","",

"7112","01/22/16","MISC","4741","GARY GRIGGS","110.00","57.30","52.70","47.91","","","","","","","","DEFAULT","GARY GRIGGS","DES MOINES","IA",
"7159","02/10/16","MISC","4770","DAN MITCHELL","39.80","25.63","14.17","35.60","","","","","","","","DEFAULT","DAN MITCHELL","DES MOINES","IA",
"7194","02/24/16","MISC","2906","AMERICAN MARKING","67.48","38.56","28.92","42.86","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"7222","04/25/16","MISC","38050","EAGLE SIGN CO.","0.00","529.11","-529.11","","","","","","","","","DEFAULT","EAGLE SIGN CO.","DES MOINES","IA",
"7276","03/30/16","MISC","4449","NEW BEGINNING","27.90","13.95","13.95","50.00","","","","","","","","DEFAULT","NEW BEGINNING","INDIANOLA","IA",
"7343","04/25/16","MISC","3244","NEON SPECIALTIES","14.85","9.90","4.95","33.33","","","","","","","","DEFAULT","NEON SPECIALTIES","DES MOINES","IA",
"7346","06/12/16","MISC","3546","SUE KOENIGSFELD","251.54","176.87","74.67","29.69","","","","","","","","DEFAULT","SUE KOENIGSFELD","DES MOINES","IA",
"7347","06/30/16","MISC","38050","EAGLE SIGN CO.","0.00","0.00","0.00","","","","","","","","","DEFAULT","EAGLE SIGN CO.","DES MOINES","IA",
"7371","05/23/16","MISC","2906","AMERICAN MARKING","41.34","14.55","26.79","64.80","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"7408","05/26/16","MISC","4779","EAGLE SIGN CO.","0.00","28.10","-28.10","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"7433","09/30/16","MISC","38050","EAGLE SIGN CO.","0.00","3961.88","-3961.88","","","","","","","","","DEFAULT","EAGLE SIGN CO.","DES MOINES","IA",
"7433-2","12/31/16","MISC","38050","EAGLE SIGN CO.","0.00","920.20","-920.20","","","","","","","","","DEFAULT","EAGLE SIGN CO.","DES MOINES","IA",
"7439","06/07/16","MISC","3244","NEON SPECIALTIES","1000.00","279.31","720.69","72.07","","","","","","","","DEFAULT","NEON SPECIALTIES","DES MOINES","IA",
"7504","10/26/16","MISC","4779","EAGLE SIGN CO.","0.00","295.61","-295.61","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"7548","07/31/16","MISC","4779","EAGLE SIGN CO.","0.00","822.22","-822.22","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"7757","11/08/16","MISC","77950","NAGLE SIGNS  INC.","107.55","99.82","7.73","7.19","","","","","","","","DEFAULT","Nagle Signs ","Waterloo ","IA",
"","","MISC","","Product Totals","1660.46","7273.01","-5612.55","-338.01","0.00","",

"7621","08/30/16","SRVCE","105050","STROH CORPORATION","165.00","69.78","95.22","57.71","","","","","","","","DEFAULT","STROH CORPORATION","Des Moines","IA",
"SC4191","03/16/16","SRVCE","90950","QUIK TRIP-FACILITIES SUPPORT","0.00","5627.10","-5627.10","","","","","","","","","12","QUIK TRIP #501","DES MOINES","IA",
"SC4285","03/09/16","SRVCE","4749","RUAN","0.00","118.01","-118.01","","","","","","","","","DEFAULT","RUAN","DES MOINES","IA",
"SC4332","02/22/16","SRVCE","104900","STORY CONSTRUCTION","0.00","0.00","0.00","","","","","","","","","5","AMES R & D LABORATORY","AMES","IA",
"SC4418","04/27/16","SRVCE","4826","TOKYO STEAKHOUSE","0.00","35.41","-35.41","","","","","","","","","DEFAULT","TOKYO STEAKHOUSE","ANKENY","IA",
"SC4422","09/30/16","SRVCE","4827","SUPER 8","0.00","47.19","-47.19","","","","","","","","","DEFAULT","SUPER 8","ANKENY","IA",
"","","SRVCE","","Product Totals","165.00","5897.49","-5732.49","-3474.24","0.00","",

"6949","05/10/16","SURVEY","4667","U.S. BANK","0.00","70.79","-70.79","","","","","","","","","DEFAULT","U.S. BANK","AMES","IA",
"","","SURVEY","","Product Totals","0.00","70.79","-70.79","","0.00","",

"","","","","Salesperson  Totals","2735.46","16829.48","-14094.02","-515.23","0.00","",

"7618","10/04/16","INSTL","112460","THE INSITE GROUP","1854.17","1513.79","340.38","18.36","","ADAM","0.030","","","","","23","EXTENDED STAY AMERICA","WEST DES MOINES","IA",
"7619","09/27/16","INSTL","112460","THE INSITE GROUP","2541.32","1424.93","1116.39","43.93","","ADAM","0.030","","","","","24","EXTENDED STAY AMERICA","URBANDALE","IA",
"7731","12/06/16","INSTL","2535","ATLAS SIGN INDUSTRIES","1076.11","775.99","300.12","27.89","","ADAM","0.030","","","","","45","US CELLULAR-ATLAS SIGN","OSCEOLA","IA",
"","","INSTL","","Product Totals","5471.60","3714.71","1756.89","32.11","0.00","ADAM",

"7731","12/06/16","PRMT","2535","ATLAS SIGN INDUSTRIES","0.00","0.00","0.00","","155.00","ADAM","0.030","","","","","45","US CELLULAR-ATLAS SIGN","OSCEOLA","IA",
"","","PRMT","","Product Totals","0.00","0.00","0.00","","155.00","ADAM",

"7054","03/03/16","SRVCE","2131","FAIRMONT SIGN COMPANY","431.00","46.85","384.15","89.13","","ADAM","0.030","","","","","13","GOODYEAR COMMERCIAL TIRE","URBANDALE","IA",
"SC4327","02/15/16","SRVCE","2216","US BANK CORPORATE REAL ESTATE","200.95","117.97","82.98","41.29","","ADAM","0.030","","","","","8","US BANK","URBANDALE","IA",
"","","SRVCE","","Product Totals","631.95","164.82","467.13","73.92","0.00","ADAM",

"7054","03/03/16","SURVEY","2131","FAIRMONT SIGN COMPANY","864.68","929.13","-64.45","-7.45","15.00","ADAM","0.030","","","","","13","GOODYEAR COMMERCIAL TIRE","URBANDALE","IA",
