"02-15-26","","","Eagle Sign Company","DIVISION 20","","DATE RANGE:  01/01/26 - 02/15/26","","","","","","","0099","","","","","","","0100","","","","","","","0200","","","","","","","0300","","","","","","","0400","","","","","","","0500","","","","","","","0600","","","","","","","0700","","","","","","","0800","","","","","","","5010","","","","","","","5190","","","","","","","5200","","","","","","","5300","","","","","","","5307","","","","","","","6000","","","","","","","6010","","","","","","","6020","","","","","","","6030","","","","","","","6040","","","","","","","6050","","","","","","","9820","","","","","ADJ"
"","","","","","","","","","","","","","PERMITTING","","","","","","","ART DEPARTMENT","","","","","","","FABRICATION","","","","","","","ELECTRICAL","","","","","","","PAINT","","","","","","","VINYL & GRAPHICS","","","","","","","INSTALLATION","","","","","","","SERVICE","","","","","","","TRAVEL","","","","","","","VEHICLE MAINTENANCE","","","","","","","SALES","","","","","","","JANITORIAL","","","","","","","OFFICE","","","","","","","Management Labor","","","","","","","VACATION PAY","","","","","","","PERSONAL/SICK PAY","","","","","","","MISC BENEFIT PAY","","","","","","","EMPLOYEE BONUS","","","","","","","HOLIDAY PAY","","","","","","","INDIRECT SHOP LABOR","","","","","","","Service Labor - Overtime","","","","","Adjust/Transfer"
"WO #","Due Date","Customer #","Customer Name","Job Location","Quote #","Description","Sign Type","Template Code","WO Status","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Act Dollars","","Tot Est Hrs","Tot Act Hrs","Tot Variance","Tot Est Dollars","Tot Act Dollars","Tot Variance"
"SC8606.1","02/06/26","5412","1908 DRAUGHT HOUSE","",""," Customer is reporting an outage with the HOUSE illuminated channel letters on the west elevation of the building. Reference provided picture. Please send service to trouble shoot and repair. Restaurant opens at 11am. Customer contact is Stef Smith 515-451-7042."," ","","Mfg Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.500","-2.500","0.00","185.67","-185.67","","0.000","0.500","-0.500","0.00","34.16","-34.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","3.000","-3.000","0.00","219.83","-219.83"
"12397.12","01/16/26","3686","ADCON","",""," Furnish and install an aluminum filler for the top of the base cabinet. Paint color SW 7632 Modern Gray with a Satin Finish. Bill customer T&M as a separate line item."," ","","Acct Closed","","","","","","","","","","","","","","","","0.000","0.500","-0.500","0.00","26.73","-26.73","","","","","","","","","0.000","1.500","-1.500","0.00","66.65","-66.65","","","","","","","","","0.000","2.250","-2.250","0.00","176.20","-176.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","4.250","-4.250","0.00","269.58","-269.58"
"SC8572.1","01/03/26","6419","AMERICINN","",""," The pole sign (that is along side US-6 West) has some outages, Please head to the site, and Diagnose and repair, Please call Danny with the price for repairs as well as before you go: His telephone number is (515)721-2727. Danny believes that sign is 60- to 70 feet tall(or more)."," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.00"
"12685.1","01/20/26","5156","ARCHITECTURAL GRAPHIC INC.","JOHNSTON, IA","40533"," Site Survey - Sizing on all roof screens - we will need to survey to get all measurements. Please make sure to get measurements of the interior edge of the black roof trim such as length and width for the entire roof, not just what is called out in the last photo for reference.","BLDNON","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.000","6.750","-2.750","293.32","453.50","-160.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.000","6.750","-2.750","293.32","453.50","-160.18"
"SC8591.1","01/24/26","5156","ARCHITECTURAL GRAPHIC INC.","",""," Lane 1 Drive thru menu board is not illuminating please assess and repair. Must be completed before 10 AM on Tuesday 1"," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.500","-1.500","0.00","89.34","-89.34","","0.000","1.500","-1.500","0.00","92.01","-92.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","3.000","-3.000","0.00","181.35","-181.35"
"SC8597.1","01/30/26","5156","ARCHITECTURAL GRAPHIC INC.","",""," New- Retrofit kit for the main menu board. One board is 31""x45"". Two boards are 16""x45"". This included the LED's and power supply. Install"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.00"
"SC8582.1","01/15/26","5107","ATLANTIC BOTTLING COCA-COLA","",""," The top portion of the ""Coca Cola"" wave is burnt out in the front building sign, please contact Craig to schedule service. (515)-975-5191"," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","4.000","-4.000","0.00","254.78","-254.78","","0.000","9.250","-9.250","0.00","583.56","-583.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","13.250","-13.250","0.00","838.34","-838.34"
"SC8590.1","01/23/26","2535","ATLAS SIGN INDUSTRIES","",""," Please head to the site, Secure the ROA face, and make repairs to the LED outages. Please secure trim that is hanging. Need sign secure for safety and surveyed"," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.500","-1.500","0.00","93.10","-93.10","","0.000","1.500","-1.500","0.00","97.49","-97.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","3.000","-3.000","0.00","190.59","-190.59"
"12729.1","01/30/26","3461","AURORA SIGN CO.","ANKENY, IA","40675"," Site Survey: provide all signable opportunities of front and rear elevations, tenant panels if existing, and window and door measurements.","CLLIT","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.000","7.000","-4.000","225.54","485.62","-260.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.000","7.000","-4.000","225.54","485.62","-260.08"
"SC8583.1","01/17/26","6337","CAMPBELL SUPPLY CO","",""," Please head to the site and repair the pole sign(it is the sign that faces army Post road) it is coming apart. please repair to function. Please call Brandon prior to heading out (515)287-7542"," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.000","-2.000","0.00","123.98","-123.98","","0.000","2.000","-2.000","0.00","127.04","-127.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","4.000","-4.000","0.00","251.02","-251.02"
