"15 FEB 2026","18:20:03","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/12 through 12/31/12",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"4036","10/11/12","BLDG","49300","GIT N GO CONVENIENCE STORES","21370.37","10868.47","10501.90","49.14","268.00","","","","","","","22","GIT N GO #19","DES MOINES","IA",
"","","BLDG","","Product Totals","21370.37","10868.47","10501.90","49.14","268.00","",

"3959","01/31/12","MISC","2906","AMERICAN MARKING","26.95","15.40","11.55","42.86","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"4023","03/22/12","MISC","3382","BOB MORGAN","45.00","21.60","23.40","52.00","","","","","","","","DEFAULT","BOB MORGAN","VAN METER","IA",
"4025","03/20/12","MISC","3384","HENRY SCHNACKEL","85.93","42.97","42.96","49.99","","","","","","","","DEFAULT","HENRY SCHNACKEL","DES MOINES","IA",
"4047","04/10/12","MISC","2833","PAUL TAYLOR","51.58","20.66","30.92","59.95","","","","","","","","DEFAULT","PAUL TYLOR","DES MOINES","IA",
"4093","04/30/12","MISC","3410","JOHN SAYLES","18.00","10.25","7.75","43.06","","","","","","","","DEFAULT","JOHN SAYLES","DES MOINES","IA",
"4139","05/23/12","MISC","3431","BRADY FLINK","80.00","80.00","0.00","0.00","","","","","","","","DEFAULT","BRADY FLINK","WEST DES MOINES","IA",
"4194","06/27/12","MISC","2773","WINDSOR VACUUM","170.42","97.37","73.05","42.86","","","","","","","","DEFAULT","WINDSOR VACUUM","DES MOINES","IA",
"4435","10/17/12","MISC","2906","AMERICAN MARKING","25.00","7.24","17.76","71.04","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"4535","12/06/12","MISC","3572","CODE ELECTRIC","112.69","56.35","56.34","50.00","","","","","","","","DEFAULT","CODE ELECTRIC","GRIMES","IA",
"4535","12/06/12","MISC","3572","CODE ELECTRIC","366.24","183.12","183.12","50.00","","","","","","","","DEFAULT","CODE ELECTRIC","GRIMES","IA",
"","","MISC","","Product Totals","981.81","534.96","446.85","45.51","0.00","",

"SC2488","02/10/12","SRVCE","2780","QUIZNO SUBS","0.00","36.40","-36.40","","","","","","","","","DEFAULT","QUIZNO SUBS","CLIVE","IA",
"SC2566","04/24/12","SRVCE","2561","NORTH AMERICAN SIGNS","0.00","0.00","0.00","","","","","","","","","5","RADIO SHACK","DES MOINES","IA",
"SC2594","09/14/12","SRVCE","3237","BOB BROWN CHEVROLET","0.00","444.02","-444.02","","","","","","","","","DEFAULT","BOB BROWN CHEVROLET","URBANDALE","IA",
"SC2645","08/12/12","SRVCE","3467","ROCK BOTTOM BREWERY","0.00","331.76","-331.76","","","","","","","","","DEFAULT","ROCK BOTTOM BREWERY","WEST DES MOINES","IA",
"SC2785","12/19/12","SRVCE","3576","MENARD'S","0.00","77.22","-77.22","","","","","","","","","DEFAULT","MENARDÇS","ALTOONA","IA",
"SC2789","12/19/12","SRVCE","3353","BUZZARD BILLY'S RESTAURANT","0.00","225.60","-225.60","","","","","","","","","DEFAULT","BUZZARD BILLYÇS RESTAURANT","DES MOINES","IA",
"","","SRVCE","","Product Totals","0.00","1115.00","-1115.00","","0.00","",

"","","","","Salesperson  Totals","22352.18","12518.43","9833.75","43.99","268.00","",

"4228","07/27/12","BLDG","73650","MERCURY INSURANCE","1480.93","372.48","1108.45","74.85","","ADAM","0.030","","","","","53","CUSTOM CHOICE INSURANCE","IDYLLWILD","CA",
"","","BLDG","","Product Totals","1480.93","372.48","1108.45","74.85","0.00","ADAM",

"4186","07/10/12","CHANNL","49300","GIT N GO CONVENIENCE STORES","6169.20","2976.35","3192.85","51.75","50.00","ADAM","0.030","","","","","29","GIT N GO","CLIVE","IA",
"","","CHANNL","","Product Totals","6169.20","2976.35","3192.85","51.75","50.00","ADAM",

"4189","07/23/12","INSTL","3309","GABLE SIGNS  INC.","558.61","891.54","-332.93","-59.60","","ADAM","0.030","","","","","7","HY-VEE - GABLE","URBANDALE","IA",
"","","INSTL","","Product Totals","558.61","891.54","-332.93","-59.60","0.00","ADAM",

"4186","07/10/12","MISC","49300","GIT N GO CONVENIENCE STORES","0.00","0.00","0.00","","","ADAM","0.030","","","","","29","GIT N GO","CLIVE","IA",
"","","MISC","","Product Totals","0.00","0.00","0.00","","0.00","ADAM",

"4222","07/10/12","REPFCE","49300","GIT N GO CONVENIENCE STORES","160.55","136.42","24.13","15.03","","ADAM","0.030","","","","","10","GIT N GO CONVENIENCE STORE #22","HUDSON","IA",
"","","REPFCE","","Product Totals","160.55","136.42","24.13","15.03","0.00","ADAM",

"SC2263","05/23/12","SRVCE","2753","DAHL'S","0.00","109.20","-109.20","","","ADAM","0.030","","","","","DEFAULT","DAHLÇS","WEST DES MOINES","IA",
"","","SRVCE","","Product Totals","0.00","109.20","-109.20","","0.00","ADAM",

"","","","","Salesperson ADAM Totals","8369.29","4485.99","3883.30","46.40","50.00","ADAM",

"3983","03/07/12","ALUM","3359","DEBORAH L. JOHNSON LAW OFFICE P.C.","725.90","379.19","346.71","47.76","25.00","BRIANT","","","","","","DEFAULT","DEBORAH L. JOHNSON LAW OFFICE P.C.","ALTOONA","IA",
"4053","04/30/12","ALUM","4250","GRAPHIC PACKAGING","735.28","217.58","517.70","70.41","","BRIANT","","","","","","DEFAULT","GRAPHIC PACKAGING","DES MOINES","IA",
"4053","04/30/12","ALUM","4250","GRAPHIC PACKAGING","492.20","508.65","-16.45","-3.34","","BRIANT","","","","","","DEFAULT","GRAPHIC PACKAGING","DES MOINES","IA",
"4101","05/31/12","ALUM","3414","RAMCO INNOVATIONS  INC.","415.95","98.00","317.95","76.44","","BRIANT","","","","","","DEFAULT","RAMCO INNOVATIONS, INC.","WEST DES MOINES","IA",
"","","ALUM","","Product Totals","2369.33","1203.42","1165.91","49.21","25.00","BRIANT",

"4096","06/11/12","AWNING","3401","BUDGET STORAGE","5677.44","1796.98","3880.46","68.35","","BRIANT","","","","","","1","BUDGET STORAGE","URBANDALE","IA",
"4101","05/31/12","AWNING","3414","RAMCO INNOVATIONS  INC.","3184.19","1543.21","1640.98","51.54","99.41","BRIANT","","","","","","DEFAULT","RAMCO INNOVATIONS, INC.","WEST DES MOINES","IA",
"4101","05/31/12","AWNING","3414","RAMCO INNOVATIONS  INC.","0.00","741.15","-741.15","","","BRIANT","","","","","","DEFAULT","RAMCO INNOVATIONS, INC.","WEST DES MOINES","IA",
"","","AWNING","","Product Totals","8861.63","4081.34","4780.29","53.94","99.41","BRIANT",

"3884","01/13/12","BLDG","3319","AROY-DEE RESTAURANT","2760.92","1530.26","1230.66","44.57","166.00","BRIANT","","","","","","DEFAULT","AROY-DEE RESTAURANT","DES MOINES","IA",
"3990","03/28/12","BLDG","49300","GIT N GO CONVENIENCE STORES","17560.49","10250.37","7310.12","41.63","83.00","BRIANT","","","","","","27","GIT ÇN GO","DES MOINES","IA",
"3992","03/30/12","BLDG","3364","FIREPLACE & STONE CENTER","1896.53","862.82","1033.71","54.51","18.14","BRIANT","","","","","","DEFAULT","FIREPLACE & STONE CENTER","WAUKEE","IA",
"4048","04/16/12","BLDG","73650","MERCURY INSURANCE","1486.74","748.49","738.25","49.66","","BRIANT","","","","","","49","ALL SOLUTIONS INSURANCE","SAN JOSE","CA",
"4096","06/11/12","BLDG","3401","BUDGET STORAGE","2267.99","1345.53","922.46","40.67","75.00","BRIANT","","","","","","1","BUDGET STORAGE","URBANDALE","IA",
"4138","05/31/12","BLDG","73650","MERCURY INSURANCE","2051.55","1046.52","1005.03","48.99","","BRIANT","","","","","","50","NUMBER 1 INSURANCE","Huntington Beach","CA",
"","","BLDG","","Product Totals","28024.22","15783.99","12240.23","43.68","342.14","BRIANT",

"3864","02/29/12","CHANNL","3309","GABLE SIGNS  INC.","942.78","555.10","387.68","41.12","83.00","BRIANT","","","","","","1","HY-VEE FITNESS","DES MOINES","IA",
"3903","01/23/12","CHANNL","3325","BLACK EAGLE MARTIAL ARTS","3734.71","1905.40","1829.31","48.98","96.44","BRIANT","","","","","","DEFAULT","BLACK EAGLE MARTIAL ARTS","WEST DES MOINES","IA",
"3954","02/10/12","CHANNL","3345","PRINCESS NAILS","2601.99","1583.51","1018.48","39.14","50.00","BRIANT","","","","","","DEFAULT","PRINCESS NAILS","CLIVE","IA",
"3955","02/27/12","CHANNL","3346","NAILS FOR YOU","3212.13","1969.38","1242.75","38.69","92.23","BRIANT","","","","","","DEFAULT","NAILS FOR YOU","WEST DES MOINES","IA",
"4009","04/03/12","CHANNL","3375","VALLEY RIDGE DENTAL","3780.20","1616.46","2163.74","57.24","89.37","BRIANT","","","","","","DEFAULT","VALLEY RIDGE DENTAL","WEST DES MOINES","IA",
"","","CHANNL","","Product Totals","14271.81","7629.85","6641.96","46.54","411.04","BRIANT",

"3874","03/08/12","DRCT","3074","LS2 GROUP","637.10","370.22","266.88","41.89","","BRIANT","","","","","","DEFAULT","LS2 GROUP","WEST DES MOINES","IA",
"4044","04/19/12","DRCT","49300","GIT N GO CONVENIENCE STORES","1489.81","829.83","659.98","44.30","","BRIANT","","","","","","29","GIT N GO","CLIVE","IA",
"4097","05/18/12","DRCT","3412","ROWAN CEMETERY","399.98","178.57","221.41","55.36","16.95","BRIANT","","","","","","DEFAULT","ROWAN CEMETERY","BELMOND","IA",
"4160","06/11/12","DRCT","2501","IOWA VETERINARY SPECIALTIES","1139.24","483.46","655.78","57.56","","BRIANT","","","","","","DEFAULT","IOWA VETERINARY SPECIALTIES","DES MOINES","",
"","","DRCT","","Product Totals","3666.13","1862.08","1804.05","49.21","16.95","BRIANT",

"3937","02/08/12","GRAPHC","3335","ME & V","335.68","120.46","215.22","64.11","","BRIANT","","","","","","DEFAULT","ME & V","DES MOINES","IA",
"3937","02/08/12","GRAPHC","3335","ME & V","385.50","158.20","227.30","58.96","","BRIANT","","","","","","DEFAULT","ME & V","DES MOINES","IA",
"","","GRAPHC","","Product Totals","721.18","278.66","442.52","61.36","0.00","BRIANT",

"3754-4","04/30/12","INSTL","2537","ICON IDENTITY SOLUTIONS","2218.06","0.00","2218.06","100.00","","BRIANT","","","","","","6","SYSCO","ANKENY","IA",
"3754CR","04/30/12","INSTL","2537","ICON IDENTITY SOLUTIONS","-2218.06","0.00","-2218.06","100.00","","BRIANT","","","","","","6","SYSCO","ANKENY","IA",
"3848CR","03/28/12","INSTL","43900","FINANCIAL PLUS CREDIT UNION","-268.03","0.00","-268.03","100.00","","BRIANT","","","","","","DEFAULT","FINANCIAL PLUS CREDIT UNION","WEST DES MOINES","IA",
"3874","03/08/12","INSTL","3074","LS2 GROUP","601.37","201.63","399.74","66.47","","BRIANT","","","","","","DEFAULT","LS2 GROUP","WEST DES MOINES","IA",
"3886","01/24/12","INSTL","110100","TACO JOHN'S OF IOWA","851.43","535.84","315.59","37.07","","BRIANT","","","","","","4","TACO JOHNÇS","ALTOONA","IA",
"3935","01/30/12","INSTL","33600","DALE TRAVIS ASSOCIATES  INC.","272.15","147.00","125.15","45.99","","BRIANT","","","","","","2","UBS","OSKALOOSA","IA",
"3943","01/31/12","INSTL","3036","PINNACLE SIGN GROUP","1084.49","811.65","272.84","25.16","50.00","BRIANT","","","","","","8","ORANGE LEAF","CEDAR RAPIDS","IA",
"3949","02/10/12","INSTL","3338","DON KWAN","160.00","0.00","160.00","100.00","","BRIANT","","","","","","1","FINANCIAL TAX SERVICES","WEST DES MOINES","IA",
"4004","04/19/12","INSTL","3372","SUSAN BARNES","317.25","146.10","171.15","53.95","","BRIANT","","","","","","1","DES MOINES INTENTIONAL EUCHARISTIC COMMUNITY","DES MOINES","IA",
"4028","03/30/12","INSTL","3383","KECK ENERGY","600.00","278.60","321.40","53.57","","BRIANT","","","","","","2","BP","CLIVE","IA",
"4035","04/16/12","INSTL","3388","ALLIED TRAVEL","991.78","700.21","291.57","29.40","","BRIANT","","","","","","DEFAULT","ALLIED TRAVEL","JOHNSTON","IA",
"4042","05/09/12","INSTL","42300","FAREWAY STORES  INC.","160.00","80.00","80.00","50.00","","BRIANT","","","","","","15","FAREWAY STORES INC.","DUBUQUE","IA",
"4049","04/24/12","INSTL","3393","JODI BREMEL","580.58","263.90","316.68","54.55","55.00","BRIANT","","","","","","1","SUBWAY","DES MOINES","IA",
"4103","06/11/12","INSTL","2501","IOWA VETERINARY SPECIALTIES","0.00","21.00","-21.00","","","BRIANT","","","","","","DEFAULT","IOWA VETERINARY SPECIALTIES","DES MOINES","",
"4104","05/08/12","INSTL","3036","PINNACLE SIGN GROUP","300.00","126.00","174.00","58.00","","BRIANT","","","","","","9","GREAT SOUTHERN BANK","NEWTON","IA",
"4150","06/11/12","INSTL","3036","PINNACLE SIGN GROUP","255.14","105.00","150.14","58.85","","BRIANT","","","","","","9","GREAT SOUTHERN BANK","NEWTON","IA",
"SC2445","01/24/12","INSTL","110100","TACO JOHN'S OF IOWA","320.00","156.80","163.20","51.00","","BRIANT","","","","","","8","TACO JOHNÇS","DES MOINES","IA",
"","","INSTL","","Product Totals","6226.16","3573.73","2652.43","42.60","105.00","BRIANT",

"4039","05/10/12","INT","73650","MERCURY INSURANCE","1538.55","1164.73","373.82","24.30","","BRIANT","","","","","","48","ADVICE INSURANCE AGENCY INC.","DUARTE","CA",
